"REF_DATE","GEO","DGUID","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002-01","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","79568","","","","0"
"2002-04","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","83981","","","","0"
"2002-07","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","86894","","","","0"
"2002-10","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","79451","","","","0"
"2003-01","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","79538","","","","0"
"2003-04","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","85757","","","","0"
"2003-07","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","89155","","","","0"
"2003-10","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","81902","","","","0"
"2004-01","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","82001","","","","0"
"2004-04","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","86293","","","","0"
"2004-07","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","88500","","","","0"
"2004-10","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","82218","","","","0"
"2005-01","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","81964","","","","0"
"2005-04","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","89151","","","","0"
"2005-07","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","91215","","","","0"
"2005-10","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","83035","","","","0"
"2006-01","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","84300","","","","0"
"2006-04","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","90612","","","","0"
"2006-07","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","95192","","","","0"
"2006-10","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","87817","","","","0"
"2007-01","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","86948","","","","0"
"2007-04","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","93978","","","","0"
"2007-07","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","98105","","","","0"
"2007-10","Canada","2016A000011124","Births","Number","223","units","0","v62","1.1","91338","","","","0"
